disco,date,band,collection_naira
EKEDC,01/03/2022,band_b,2466487125
EKEDC,01/03/2022,band_c,1430847383
EKEDC,01/03/2022,band_d,1012778963
EKEDC,01/03/2022,band_e,221383838.7
EKEDC,01/04/2022,lifeline,0
EKEDC,01/04/2022,band_a,3734189862
EKEDC,01/04/2022,band_b,2780383399
EKEDC,01/04/2022,band_c,1506455314
EKEDC,01/04/2022,band_d,1120114732
EKEDC,01/04/2022,band_e,230742458.7
EKEDC,01/05/2022,lifeline,0
EKEDC,01/05/2022,band_a,4049755666
EKEDC,01/05/2022,band_b,2651375838
EKEDC,01/05/2022,band_c,1383038587
EKEDC,01/05/2022,band_d,1007577550
EKEDC,01/05/2022,band_e,224819290
EKEDC,01/06/2022,lifeline,0
EKEDC,01/06/2022,band_a,3935575870
EKEDC,01/06/2022,band_b,2570078952
EKEDC,01/06/2022,band_c,1408109948
EKEDC,01/06/2022,band_d,1004782846
EKEDC,01/06/2022,band_e,180299060.1
EKEDC,01/07/2022,lifeline,0
EKEDC,01/07/2022,band_a,4230251020
EKEDC,01/07/2022,band_b,3081095831
EKEDC,01/07/2022,band_c,1566852645
EKEDC,01/07/2022,band_d,1197092803
EKEDC,01/07/2022,band_e,230528363.3
EKEDC,01/08/2022,lifeline,0
EKEDC,01/08/2022,band_a,4388024154
EKEDC,01/08/2022,band_b,3490171344
EKEDC,01/08/2022,band_c,1747354448
EKEDC,01/08/2022,band_d,1257490622
EKEDC,01/08/2022,band_e,254751949.5
EKEDC,01/09/2022,lifeline,0
EKEDC,01/09/2022,band_a,4486790458
EKEDC,01/09/2022,band_b,3461183621
EKEDC,01/09/2022,band_c,1689888679
EKEDC,01/09/2022,band_d,1187018403
EKEDC,01/09/2022,band_e,92730716.42
EEDC,01/11/2020,lifeline,200768
EEDC,01/11/2020,band_a,1235994960
EEDC,01/11/2020,band_b,1216632815
EEDC,01/11/2020,band_c,2304713111
EEDC,01/11/2020,band_d,540949704.3
EEDC,01/11/2020,band_e,163549239.8
EEDC,01/12/2020,lifeline,126401
EEDC,01/12/2020,band_a,1484615764
EEDC,01/12/2020,band_b,1199362496
EEDC,01/12/2020,band_c,2160197203
EEDC,01/12/2020,band_d,487859367.7
EEDC,01/12/2020,band_e,108591498.6
EEDC,01/01/2021,lifeline,146695
EEDC,01/01/2021,band_a,1720105986
EEDC,01/01/2021,band_b,1252697218
EEDC,01/01/2021,band_c,2258584510
EEDC,01/01/2021,band_d,551040700.2
EEDC,01/01/2021,band_e,127875721.8
EEDC,01/02/2021,lifeline,181603
EEDC,01/02/2021,band_a,1659226893
EEDC,01/02/2021,band_b,1379985651
EEDC,01/02/2021,band_c,2297525846
EEDC,01/02/2021,band_d,589179113.4
EEDC,01/02/2021,band_e,133550006
EEDC,01/03/2021,lifeline,115849
EEDC,01/03/2021,band_a,1631845732
EEDC,01/03/2021,band_b,1234456310
EEDC,01/03/2021,band_c,2136296864
EEDC,01/03/2021,band_d,527045289.7
EEDC,01/03/2021,band_e,104866225.6
EEDC,01/04/2021,lifeline,104209
EEDC,01/04/2021,band_a,1489088292
EEDC,01/04/2021,band_b,1217253409
EEDC,01/04/2021,band_c,2144209525
EEDC,01/04/2021,band_d,507817744.7
EEDC,01/04/2021,band_e,97095021.97
EEDC,01/05/2021,lifeline,124035
EEDC,01/05/2021,band_a,1646920622
EEDC,01/05/2021,band_b,1163697086
EEDC,01/05/2021,band_c,2211788937
EEDC,01/05/2021,band_d,557047924.3
EEDC,01/05/2021,band_e,101423229.1
EEDC,01/06/2021,lifeline,102414
EEDC,01/06/2021,band_a,1489495669
EEDC,01/06/2021,band_b,1162659905
EEDC,01/06/2021,band_c,2184734178
EEDC,01/06/2021,band_d,718423446.9
EEDC,01/06/2021,band_e,197638221.9
EEDC,01/07/2021,lifeline,75335
EEDC,01/07/2021,band_a,1541290421
EEDC,01/07/2021,band_b,1168601012
EEDC,01/07/2021,band_c,2059049461
EEDC,01/07/2021,band_d,649027877.4
EEDC,01/07/2021,band_e,175822762.5
EEDC,01/08/2021,lifeline,83473
EEDC,01/08/2021,band_a,1406655183
EEDC,01/08/2021,band_b,1187184165
EEDC,01/08/2021,band_c,2049524571
EEDC,01/08/2021,band_d,667477962.1
EEDC,01/08/2021,band_e,171473348.5
EEDC,01/09/2021,lifeline,75953
EEDC,01/09/2021,band_a,1451664803
EEDC,01/09/2021,band_b,1248615768
EEDC,01/09/2021,band_c,2059960322
EEDC,01/09/2021,band_d,610315138.3
EEDC,01/09/2021,band_e,139810426.8
EEDC,01/10/2021,lifeline,107451
EEDC,01/10/2021,band_a,1469080118
EEDC,01/10/2021,band_b,1312871417
EEDC,01/10/2021,band_c,2238253721
EEDC,01/10/2021,band_d,688159655.1
EEDC,01/10/2021,band_e,160541023.6
EEDC,01/11/2021,lifeline,198001
EEDC,01/11/2021,band_a,1648091983
EEDC,01/11/2021,band_b,1372607329
