disco,date,band,energy_kwh
EEDC,01/09/2022,lifeline,5519.632
EEDC,01/09/2022,band_a,49667125.14
EEDC,01/09/2022,band_b,33562845.56
EEDC,01/09/2022,band_c,33864813.73
EEDC,01/09/2022,band_d,14890815.48
EEDC,01/09/2022,band_e,5593997.463
IBEDC,01/11/2020,lifeline,2422650.699
IBEDC,01/11/2020,band_a,67000187.98
IBEDC,01/11/2020,band_b,39673831.95
IBEDC,01/11/2020,band_c,45969940.06
IBEDC,01/11/2020,band_d,70717821.58
IBEDC,01/11/2020,band_e,55264527.32
IBEDC,01/12/2020,lifeline,10151742.2
IBEDC,01/12/2020,band_a,64181256.54
IBEDC,01/12/2020,band_b,45186703.65
IBEDC,01/12/2020,band_c,45527189.33
IBEDC,01/12/2020,band_d,73359793.17
IBEDC,01/12/2020,band_e,62238517.1
IBEDC,01/01/2021,lifeline,2602642.523
IBEDC,01/01/2021,band_a,68568364.63
IBEDC,01/01/2021,band_b,44808124.53
IBEDC,01/01/2021,band_c,47852200.98
IBEDC,01/01/2021,band_d,77248973.85
IBEDC,01/01/2021,band_e,64238308.48
IBEDC,01/02/2021,lifeline,2351100.317
IBEDC,01/02/2021,band_a,67870888.01
IBEDC,01/02/2021,band_b,37071176.32
IBEDC,01/02/2021,band_c,40119902.33
IBEDC,01/02/2021,band_d,69493387.06
IBEDC,01/02/2021,band_e,51367308.01
IBEDC,01/03/2021,lifeline,1020417.094
IBEDC,01/03/2021,band_a,71768395.01
IBEDC,01/03/2021,band_b,37834242.92
IBEDC,01/03/2021,band_c,40761689.46
IBEDC,01/03/2021,band_d,68421552.63
IBEDC,01/03/2021,band_e,50440585.94
IBEDC,01/04/2021,lifeline,1299577.985
IBEDC,01/04/2021,band_a,67906684.84
IBEDC,01/04/2021,band_b,35919044.46
IBEDC,01/04/2021,band_c,38088550.62
IBEDC,01/04/2021,band_d,61404108.73
IBEDC,01/04/2021,band_e,47395813.13
IBEDC,01/05/2021,lifeline,652531.2817
IBEDC,01/05/2021,band_a,60508165.25
IBEDC,01/05/2021,band_b,21834350.97
IBEDC,01/05/2021,band_c,50788449.85
IBEDC,01/05/2021,band_d,39827097.09
IBEDC,01/05/2021,band_e,33946983.02
IBEDC,01/06/2021,lifeline,862669.3944
IBEDC,01/06/2021,band_a,58480071.55
IBEDC,01/06/2021,band_b,24968975.21
IBEDC,01/06/2021,band_c,28203803.79
IBEDC,01/06/2021,band_d,39123612.33
IBEDC,01/06/2021,band_e,28683729.72
IBEDC,01/07/2021,lifeline,895535.5068
IBEDC,01/07/2021,band_a,64277457.89
IBEDC,01/07/2021,band_b,30050285.88
IBEDC,01/07/2021,band_c,34180757.8
IBEDC,01/07/2021,band_d,49199602.4
IBEDC,01/07/2021,band_e,40359767.93
IBEDC,01/08/2021,lifeline,1003106.281
IBEDC,01/08/2021,band_a,65867957.4
IBEDC,01/08/2021,band_b,31749952.54
IBEDC,01/08/2021,band_c,32806161.32
IBEDC,01/08/2021,band_d,50142108.31
IBEDC,01/08/2021,band_e,43177209.52
IBEDC,01/09/2021,lifeline,918224.3105
IBEDC,01/09/2021,band_a,67280686.47
IBEDC,01/09/2021,band_b,33447394.84
IBEDC,01/09/2021,band_c,35391324.35
IBEDC,01/09/2021,band_d,50824395.83
IBEDC,01/09/2021,band_e,44959928.66
IBEDC,01/10/2021,lifeline,834575.0554
IBEDC,01/10/2021,band_a,63696639.47
IBEDC,01/10/2021,band_b,35002521.42
IBEDC,01/10/2021,band_c,37634266.54
IBEDC,01/10/2021,band_d,54905397.52
IBEDC,01/10/2021,band_e,48761071.45
IBEDC,01/11/2021,lifeline,880056.734
IBEDC,01/11/2021,band_a,72785199
IBEDC,01/11/2021,band_b,37721230.55
IBEDC,01/11/2021,band_c,40184960.47
IBEDC,01/11/2021,band_d,57206455.17
IBEDC,01/11/2021,band_e,46649745.47
IBEDC,01/12/2021,lifeline,1183473.869
IBEDC,01/12/2021,band_a,73092311.37
IBEDC,01/12/2021,band_b,42180493.37
IBEDC,01/12/2021,band_c,41212893.28
IBEDC,01/12/2021,band_d,58783360.45
IBEDC,01/12/2021,band_e,47100759.28
IBEDC,01/01/2022,lifeline,1062497.815
IBEDC,01/01/2022,band_a,70918500.12
IBEDC,01/01/2022,band_b,39458992.26
IBEDC,01/01/2022,band_c,41066514.05
IBEDC,01/01/2022,band_d,55738327.73
IBEDC,01/01/2022,band_e,44332824.74
IBEDC,01/02/2022,lifeline,962352.3825
IBEDC,01/02/2022,band_a,65704870.56
